customer_id,total_revenue,total_invoices,avg_basket_size,unique_products
12346,0.0,2,0.0,1
12347,4310.0,7,351.14285714285717,103
12348,1595.64,4,465.25,22
12349,1757.55,1,631.0,73
12350,334.40000000000003,1,197.0,17
12352,1265.36,11,42.63636363636363,59
12353,89.0,1,20.0,4
12354,1079.4,1,530.0,58
12355,459.40000000000003,1,240.0,13
12356,2811.43,3,530.3333333333334,53
12357,6207.67,1,2708.0,131
12358,1168.06,2,124.0,13
12359,6068.2300000000005,6,265.0,214
12360,2662.06,3,388.3333333333333,105
12361,189.9,1,91.0,10
12362,5154.58,13,170.15384615384616,201
12363,552.0,2,204.0,23
12364,1313.1,4,376.5,70
12365,320.69,3,57.666666666666664,22
12367,168.9,1,173.0,11
12370,3541.94,4,588.0,143
12371,1887.96,2,295.5,63
12372,1298.04,3,264.6666666666667,34
12373,364.6,1,197.0,14
12374,742.9300000000001,1,342.0,33
12375,455.42,3,59.0,14
12377,1628.12,2,472.0,72
12378,4008.62,1,2529.0,219
12379,850.29,3,135.33333333333334,39
12380,2720.56,5,225.2,77
12381,1803.96,6,130.5,70
12383,1839.31,6,254.83333333333334,84
12384,566.16,3,40.333333333333336,26
12386,401.9,2,177.0,10
12388,2780.66,6,243.66666666666666,57
12390,549.84,1,353.0,32
12391,437.16,1,291.0,92
12393,1549.4,4,202.0,47
12394,1272.48,2,409.5,26
12395,2998.28,15,140.86666666666667,91
12397,2409.9,2,631.5,110
12398,1635.66,1,1394.0,85
12399,1108.65,4,294.5,47
12401,84.3,1,11.0,5
12402,225.6,1,94.0,11
12403,409.7,2,47.5,5
12405,1710.39,1,857.0,54
12406,3239.5,3,594.6666666666666,92
12407,1708.1200000000001,5,283.2,57
12408,2842.57,9,155.44444444444446,81
12409,11056.93,7,791.8571428571429,91
12410,681.08,3,69.66666666666667,26
12412,1226.88,3,276.3333333333333,43
12413,694.15,5,56.4,29
12414,562.41,3,100.0,16
12415,123725.45,26,2970.846153846154,444
12417,3578.8,12,128.25,158
12418,668.58,1,407.0,34
12420,600.39,1,345.0,29
12421,806.27,5,96.6,33
12422,803.5600000000001,3,123.33333333333333,39
12423,1849.1100000000001,9,147.44444444444446,97
12424,1760.96,2,370.0,30
12425,777.2,1,496.0,36
12426,582.73,1,258.0,30
12427,708.37,5,47.2,26
12428,7877.2,12,291.9166666666667,258
12429,3750.4,4,389.25,82
12430,256.4,1,117.0,11
12431,6348.89,18,158.77777777777777,163
12432,5059.32,5,360.2,107
12433,13375.87,7,1581.5714285714287,219
12434,765.19,4,93.25,49
12435,7829.89,2,1027.5,31
12436,509.01000000000005,1,211.0,16
12437,4896.66,19,153.57894736842104,119
12438,2906.85,2,590.0,84
12441,173.55,1,121.0,11
12442,172.06,1,182.0,12
12444,5005.46,5,230.6,138
12445,133.4,1,62.0,4
12446,1002.3100000000001,1,352.0,58
12447,476.49,1,190.0,26
12448,449.45,1,243.0,22
12449,4067.29,4,388.25,118
12450,197.88,2,64.0,7
12451,8933.52,6,1075.8333333333333,265
12452,428.57,3,61.0,21
12453,707.09,1,473.0,43
12454,0.0,2,0.0,15
12455,2466.86,6,348.1666666666667,85
12456,3153.89,4,404.0,105
12457,1917.78,12,57.833333333333336,53
12458,947.4,2,253.0,35
12461,826.88,2,143.5,35
12462,1124.01,4,128.5,51
12463,1303.63,7,108.14285714285714,66
12464,1212.05,8,14.0,6
12465,733.89,3,158.33333333333334,46
12468,724.0400000000001,3,121.33333333333333,36
12471,18710.52,49,162.3877551020408,152
12472,6229.4800000000005,13,309.2307692307692,226
12473,2413.67,9,259.6666666666667,140
12474,7064.77,30,158.33333333333334,253
12475,723.38,1,535.0,36
12476,6497.08,20,116.55,177
12477,13117.01,9,402.22222222222223,192
12478,680.99,1,236.0,36
12479,477.3,3,117.0,31
12480,3281.63,4,426.75,129
12481,5574.36,11,298.1818181818182,150
12483,2327.13,13,84.38461538461539,46
12484,4402.53,8,267.125,256
12488,1298.66,3,176.33333333333334,46
12489,334.93,1,105.0,15
12490,5417.93,10,306.4,131
12491,413.6,1,188.0,25
12492,263.21000000000004,2,96.0,19
12493,416.79,3,68.66666666666667,20
12494,1139.3500000000001,13,53.07692307692308,63
12497,1043.1,1,1236.0,14
12498,403.70000000000005,3,53.0,21
12500,4206.27,13,205.46153846153845,34
12501,2089.68,2,861.0,149
12502,3723.87,5,164.0,102
12503,-1126.0,1,-1.0,1
12504,114.0,4,12.75,6
12505,-4.5,1,-1.0,1
12506,73.5,1,23.0,23
12507,1258.06,4,223.5,19
12508,390.36,2,127.5,57
12509,176.5,1,55.0,7
12510,982.5699999999999,2,176.5,29
12512,132.18,2,48.0,31
12513,586.79,2,228.0,35
12514,1017.68,1,440.0,51
12515,383.7,1,131.0,16
12516,1312.06,2,437.5,20
12517,2410.51,6,218.33333333333334,232
12518,2056.89,5,263.6,84
12519,330.84,1,175.0,17
12520,2582.51,6,238.33333333333334,121
12521,599.68,1,309.0,38
12522,192.72,2,97.0,11
12523,1745.57,13,66.23076923076923,84
12524,4485.72,8,462.375,113
12526,1316.66,3,210.66666666666666,64
12527,348.71000000000004,3,78.0,18
12528,1922.28,8,93.75,50
12530,1623.63,5,180.0,51
12531,125.22,1,45.0,17
12532,349.83000000000004,1,153.0,16
12534,1089.18,1,651.0,63
12535,716.35,2,109.5,28
12536,4111.46,5,533.6,260
12538,363.95,1,191.0,21
12539,3852.5,5,413.2,158
12540,13309.04,19,351.42105263157896,278
12541,981.1800000000001,3,226.66666666666666,46
12544,355.7,2,66.0,19
12545,1000.39,2,261.5,42
12546,1141.5,3,205.66666666666666,59
12547,207.8,2,67.0,7
12548,95.2,1,49.0,5
12550,964.83,1,569.0,57
12551,168.0,1,100.0,10
12552,437.82,2,44.0,20
