customer_id,total_revenue,total_invoices,avg_basket_size,unique_products,cluster,customerid,last_purchase_date,days_since_last_purchase,is_churned
12346,0.0,2,0.0,1,0,12346.0,2011-01-18 10:17:00,325,1
12347,4310.0,7,351.14285714285717,103,0,12347.0,2011-12-07 15:52:00,1,0
12348,1595.64,4,465.25,22,0,12348.0,2011-09-25 13:13:00,74,0
12349,1757.55,1,631.0,73,0,12349.0,2011-11-21 09:51:00,18,0
12350,334.40000000000003,1,197.0,17,0,12350.0,2011-02-02 16:01:00,309,1
12352,1265.36,11,42.63636363636363,59,0,12352.0,2011-11-03 14:37:00,35,0
12353,89.0,1,20.0,4,0,12353.0,2011-05-19 17:47:00,203,1
12354,1079.4,1,530.0,58,0,12354.0,2011-04-21 13:11:00,231,1
12355,459.4,1,240.0,13,0,12355.0,2011-05-09 13:49:00,213,1
12356,2811.43,3,530.3333333333334,53,0,12356.0,2011-11-17 08:40:00,22,0
12357,6207.67,1,2708.0,131,2,12357.0,2011-11-06 16:07:00,32,0
12358,1168.06,2,124.0,13,0,12358.0,2011-12-08 10:26:00,1,0
12359,6068.2300000000005,6,265.0,214,2,12359.0,2011-12-02 11:21:00,7,0
12360,2662.06,3,388.3333333333333,105,0,12360.0,2011-10-18 15:22:00,51,0
12361,189.9,1,91.0,10,0,12361.0,2011-02-25 13:51:00,286,1
12362,5154.58,13,170.15384615384616,201,2,12362.0,2011-12-06 15:40:00,2,0
12363,552.0,2,204.0,23,0,12363.0,2011-08-22 10:18:00,109,0
12364,1313.1,4,376.5,70,0,12364.0,2011-12-02 10:22:00,7,0
12365,320.69,3,57.666666666666664,22,0,12365.0,2011-02-21 14:04:00,290,1
12367,168.9,1,173.0,11,0,12367.0,2011-12-05 16:48:00,3,0
12370,3541.94,4,588.0,143,2,12370.0,2011-10-19 14:51:00,50,0
12371,1887.96,2,295.5,63,0,12371.0,2011-10-26 10:16:00,44,0
12372,1298.04,3,264.6666666666667,34,0,12372.0,2011-09-29 12:12:00,71,0
12373,364.6,1,197.0,14,0,12373.0,2011-02-01 13:10:00,310,1
12374,742.9300000000001,1,342.0,33,0,12374.0,2011-11-14 15:37:00,24,0
12375,455.42,3,59.0,14,0,12375.0,2011-12-07 11:27:00,2,0
12377,1628.12,2,472.0,72,0,12377.0,2011-01-28 15:45:00,314,1
12378,4008.62,1,2529.0,219,2,12378.0,2011-08-02 10:34:00,129,0
12379,850.29,3,135.33333333333334,39,0,12379.0,2011-09-19 10:09:00,81,0
12380,2720.56,5,225.2,77,0,12380.0,2011-11-18 11:27:00,21,0
